"date_time_utc","Latitude","Longitude","Patm_mbar","Temperature_raw_C","Temperature_adj_C","CTDSAL_PSS78","Type","xCO2_dry_ppm","Std_Offset_ppm","xCO2_EQU_corr_ppm","xCO2_ATM_interp_ppm","xCO2_ATM_ppm","fCO2_water_microatm","fCO2_ATM_interp_microatm","dfCO2_microatm","U_10_MSY_m_s","Sc_35ppt","k_cm_hr_35ppt","K_mol_L_atm","F_mol_m2_s","F_mmol_m2_d","F_micromol_m2_s"
2022-10-12 16:08:47,28.89719,-89.446634,1016.74667410149,25.9777361092605,25.9777361092605,27.8869892738175,"EQU",860.88,NA,823.469,344.0036,NA,771.69,332.91,438.77,4.2165925560814,498.757155845262,1.21748258326731,0.0292530833996644,4.34079055643883e-08,3.75044304076315,0.0434079055643883
2022-10-12 16:11:17,28.891153,-89.458006,1016.77617674164,25.934045236509,25.934045236509,27.3446908061293,"EQU",852.01,NA,814.656,343.955,NA,763.37,332.9,430.47,3.98085312879396,499.812347763075,1.14820214420882,0.029355832040205,4.03044628278192e-08,3.48230558832358,0.0403044628278192
2022-10-12 16:13:47,28.888429,-89.463934,1016.80567938179,25.8903543637575,25.8903543637575,26.802392338441,"EQU",805.36,NA,768.195,343.9065,NA,716.23,332.89,383.34,3.74511370150652,500.869839517563,1.07906661497457,0.029459028113827,3.38491921985067e-08,2.92457020595098,0.0338491921985067
2022-10-12 16:16:17,28.885675,-89.469798,1016.82365888931,25.846663491006,25.846663491006,26.2600938707528,"EQU",755.2,NA,718.232,343.8582,NA,667,332.87,334.12,3.50937427421907,501.92963811459,1.01007577866282,0.0295626737205339,2.77138995866873e-08,2.39448092428978,0.0277138995866873
2022-10-12 16:18:47,28.88034,-89.48188,1016.83071386847,25.8029726182545,25.8029726182545,25.7177954030646,"EQU",743.99,NA,707.082,343.8096,NA,656.42,332.86,323.57,3.27363484693163,502.991750626092,0.941229419108159,0.0296667709708448,2.50975610909013e-08,2.16842927825387,0.0250975610909013
2022-10-12 16:21:17,28.88034,-89.48188,1016.83776884764,25.759281745503,25.759281745503,25.1754969353764,"EQU",756.47,NA,719.54,343.7613,NA,665.44,332.84,332.6,3.03789541964419,504.056184190075,0.872527320892231,0.0297713219858472,2.39992073793939e-08,2.07353151757963,0.0239992073793939
2022-10-12 16:23:47,28.880107,-89.482546,1016.84482382681,25.7155908727515,25.7155908727515,24.6331984676882,"EQU",660.68,NA,624.092,343.7128,NA,578.61,332.82,245.79,2.80215599235675,505.122946010614,0.803969269354072,0.0298763288972536,1.63994162522296e-08,1.41690956419264,0.0163994162522296
2022-10-12 16:26:17,28.880539,-89.483547,1016.85187880597,25.6719,25.6719,24.0909,"EQU-DRAIN",567.85,NA,531.587,343.6642,NA,493.41,332.8,160.61,2.59313370016188,506.192043357859,0.743212390379885,0.0299817938474548,9.94124177924912e-09,0.858923289727124,0.00994124177924912
2022-10-12 16:29:09,28.87851,-89.487435,1016.85996851542,25.6817107072042,25.6817107072042,23.8249991407799,"EQU",501.58,NA,465.548,343.6086,NA,433.79,332.74,101.05,2.59313370016188,505.951775748537,0.74338883868773,0.0300095565421138,6.26194762942865e-09,0.541032275182636,0.00626194762942865
2022-10-12 16:31:39,28.875473,-89.492482,1016.86702349458,25.6902665565102,25.6902665565102,23.5931088565763,"EQU",517.68,NA,481.607,343.5604,NA,442.75,332.69,110.07,2.59313370016188,505.742336410514,0.743542749819156,0.0300337846956378,6.82782642446671e-09,0.589924203073924,0.00682782642446671
