#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-06-11 20:48:46 EDT      (sdww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 07374525 Mississippi River at Belle Chasse, LA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		61182	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	07374525	00060	61182	2	24	2009	2022	14	2020	1130000	2011	269000	652000		305000	435000	476000	572000	834000	1020000	1120000	
USGS	07374525	00060	61182	2	25	2009	2022	14	2020	1150000	2011	294000	638000		321000	457000	473000	559000	820000	926000	1100000	
USGS	07374525	00060	61182	2	26	2009	2022	14	2020	1160000	2011	282000	647000		334000	428000	466000	573000	871000	896000	1120000	
USGS	07374525	00060	61182	2	27	2009	2022	14	2020	1160000	2011	291000	643000		332000	423000	453000	580000	871000	914000	1120000	
USGS	07374525	00060	61182	2	28	2009	2022	14	2020	1160000	2011	342000	644000		361000	413000	430000	601000	831000	898000	1120000	
USGS	07374525	00060	61182	2	29	2012	2020	3	2020	1150000	2012	471000	771000				471000	691000	1150000			
USGS	07374525	00060	61182	3	1	2009	2022	14	2020	1140000	2015	390000	657000		396000	411000	437000	600000	823000	957000	1120000	
USGS	07374525	00060	61182	3	2	2009	2022	14	2020	1150000	2017	410000	670000		416000	435000	445000	568000	884000	985000	1130000	
USGS	07374525	00060	61182	3	3	2009	2022	14	2020	1160000	2017	409000	677000		433000	458000	460000	554000	845000	957000	1140000	
USGS	07374525	00060	61182	3	4	2009	2022	14	2019	1190000	2017	399000	684000		428000	492000	495000	569000	816000	955000	1170000	
USGS	07374525	00060	61182	3	5	2009	2022	14	2019	1190000	2017	387000	698000		409000	496000	497000	614000	833000	973000	1180000	
USGS	07374525	00060	61182	3	6	2009	2022	14	2020	1170000	2017	373000	706000		389000	490000	492000	637000	888000	1100000	1150000	
USGS	07374525	00060	61182	3	7	2009	2022	14	2018	1170000	2017	377000	706000		388000	463000	474000	649000	907000	1100000	1170000	
USGS	07374525	00060	61182	3	8	2009	2022	14	2020	1160000	2017	388000	702000		393000	455000	483000	634000	903000	1100000	1150000	
USGS	07374525	00060	61182	3	9	2009	2022	14	2020	1150000	2017	396000	709000		405000	447000	477000	645000	916000	1080000	1130000	
USGS	07374525	00060	61182	3	10	2009	2022	14	2020	1150000	2012	419000	724000		419000	446000	474000	676000	947000	1120000	1140000	
USGS	07374525	00060	61182	3	11	2009	2022	14	2018	1190000	2012	430000	742000		438000	480000	484000	652000	967000	1140000	1170000	
USGS	07374525	00060	61182	3	12	2009	2022	14	2018	1280000	2012	458000	764000		469000	484000	486000	668000	979000	1130000	1210000	
USGS	07374525	00060	61182	3	13	2009	2022	14	2018	1250000	2009	469000	777000		480000	506000	522000	741000	986000	1110000	1190000	
USGS	07374525	00060	61182	3	14	2009	2022	14	2018	1210000	2009	466000	784000		472000	535000	555000	801000	995000	1110000	1160000	
USGS	07374525	00060	61182	3	15	2009	2022	14	2019	1220000	2013	476000	796000		478000	566000	566000	834000	987000	1120000	1180000	
USGS	07374525	00060	61182	3	16	2009	2022	14	2019	1180000	2009	484000	802000		485000	557000	571000	857000	1000000	1100000	1160000	
USGS	07374525	00060	61182	3	17	2009	2022	14	2019	1170000	2013	487000	808000		488000	548000	576000	869000	1020000	1090000	1150000	
USGS	07374525	00060	61182	3	18	2009	2022	14	2019	1150000	2009	492000	810000		499000	544000	548000	882000	1000000	1060000	1140000	
USGS	07374525	00060	61182	3	19	2009	2022	14	2018	1160000	2009	514000	822000		519000	530000	531000	916000	1040000	1070000	1160000	
USGS	07374525	00060	61182	3	20	2009	2022	14	2018	1250000	2014	528000	840000		530000	534000	564000	914000	1060000	1120000	1200000	
USGS	07374525	00060	61182	3	21	2009	2022	14	2018	1220000	2009	526000	851000		527000	571000	605000	921000	1070000	1080000	1200000	
USGS	07374525	00060	61182	3	22	2009	2022	14	2018	1140000	2014	526000	839000		528000	595000	601000	914000	1030000	1050000	1140000	
USGS	07374525	00060	61182	3	23	2009	2022	14	2019	1120000	2014	533000	835000		538000	564000	594000	931000	1030000	1050000	1110000	
USGS	07374525	00060	61182	3	24	2009	2022	14	2019	1120000	2014	529000	848000		532000	554000	609000	964000	1030000	1030000	1110000	
USGS	07374525	00060	61182	3	25	2009	2022	14	2019	1140000	2017	526000	862000		537000	577000	653000	955000	1070000	1080000	1120000	
USGS	07374525	00060	61182	3	26	2009	2022	14	2019	1200000	2014	506000	861000		507000	570000	684000	958000	1030000	1080000	1150000	
USGS	07374525	00060	61182	3	27	2009	2022	14	2019	1140000	2017	488000	848000		492000	598000	643000	958000	1020000	1070000	1110000	
USGS	07374525	00060	61182	3	28	2009	2022	14	2019	1090000	2017	477000	863000		480000	701000	707000	981000	1030000	1060000	1080000	
USGS	07374525	00060	61182	3	29	2009	2022	14	2018	1110000	2017	461000	870000		499000	709000	717000	962000	1050000	1100000	1110000	
USGS	07374525	00060	61182	3	30	2009	2022	13	2018	1120000	2017	472000	855000		492000	636000	702000	934000	1070000	1100000	1110000	
USGS	07374525	00060	61182	3	31	2009	2022	13	2019	1200000	2017	473000	858000		488000	648000	708000	932000	1030000	1060000	1160000	
USGS	07374525	00060	61182	4	1	2009	2022	14	2019	1140000	2017	469000	861000		492000	689000	719000	945000	1020000	1040000	1130000	
USGS	07374525	00060	61182	4	2	2009	2022	14	2019	1160000	2017	467000	865000		507000	680000	697000	946000	1020000	1020000	1140000	
USGS	07374525	00060	61182	4	3	2009	2022	14	2020	1130000	2017	492000	855000		516000	688000	693000	913000	1020000	1030000	1110000	
USGS	07374525	00060	61182	4	4	2009	2022	14	2020	1140000	2017	507000	861000		519000	651000	705000	894000	1030000	1040000	1110000	
USGS	07374525	00060	61182	4	5	2009	2022	14	2020	1150000	2014	516000	863000		535000	676000	691000	879000	1040000	1060000	1120000	
USGS	07374525	00060	61182	4	6	2009	2022	14	2020	1150000	2014	500000	848000		540000	631000	702000	871000	1010000	1040000	1100000	
USGS	07374525	00060	61182	4	7	2009	2022	14	2020	1140000	2014	526000	839000		546000	602000	678000	854000	1010000	1030000	1090000	
USGS	07374525	00060	61182	4	8	2009	2022	14	2020	1140000	2014	546000	842000		561000	584000	660000	878000	1000000	1040000	1090000	
USGS	07374525	00060	61182	4	9	2009	2022	14	2020	1160000	2013	542000	837000		554000	581000	657000	859000	1020000	1030000	1140000	
USGS	07374525	00060	61182	4	10	2009	2022	14	2020	1160000	2013	521000	829000		540000	587000	630000	843000	1040000	1050000	1120000	
USGS	07374525	00060	61182	4	11	2009	2022	14	2020	1150000	2013	524000	825000		558000	601000	630000	849000	983000	1020000	1110000	
USGS	07374525	00060	61182	4	12	2009	2022	14	2020	1140000	2013	510000	821000		554000	619000	654000	832000	956000	1030000	1100000	
USGS	07374525	00060	61182	4	13	2009	2022	14	2020	1160000	2013	487000	806000		531000	641000	659000	801000	944000	976000	1100000	
USGS	07374525	00060	61182	4	14	2009	2022	14	2020	1160000	2013	502000	825000		525000	652000	682000	788000	1040000	1080000	1130000	
USGS	07374525	00060	61182	4	15	2009	2022	14	2020	1160000	2013	508000	819000		517000	670000	719000	769000	1020000	1080000	1120000	
USGS	07374525	00060	61182	4	16	2009	2022	14	2020	1170000	2013	497000	812000		506000	689000	712000	768000	1000000	1020000	1130000	
USGS	07374525	00060	61182	4	17	2009	2022	14	2020	1170000	2013	502000	798000		504000	687000	703000	761000	963000	996000	1120000	
USGS	07374525	00060	61182	4	18	2009	2022	14	2020	1180000	2013	504000	800000		505000	668000	703000	758000	958000	1000000	1120000	
USGS	07374525	00060	61182	4	19	2009	2022	13	2020	1160000	2012	470000	827000		502000	638000	688000	776000	1040000	1070000	1150000	
USGS	07374525	00060	61182	4	20	2009	2022	14	2020	1170000	2012	452000	810000		487000	667000	693000	768000	1000000	1020000	1130000	
USGS	07374525	00060	61182	4	21	2009	2022	14	2020	1170000	2012	463000	798000		503000	680000	692000	762000	964000	1000000	1090000	
USGS	07374525	00060	61182	4	22	2009	2022	14	2020	1160000	2012	463000	800000		519000	650000	673000	752000	983000	1010000	1090000	
USGS	07374525	00060	61182	4	23	2009	2022	14	2020	1150000	2012	452000	807000		522000	616000	668000	764000	966000	1040000	1120000	
USGS	07374525	00060	61182	4	24	2009	2022	14	2020	1160000	2012	419000	807000		507000	649000	686000	769000	959000	1020000	1150000	
USGS	07374525	00060	61182	4	25	2009	2022	14	2019	1190000	2012	412000	811000		510000	671000	682000	775000	969000	994000	1170000	
USGS	07374525	00060	61182	4	26	2009	2022	14	2019	1270000	2012	421000	812000		504000	652000	671000	749000	979000	1030000	1210000	
USGS	07374525	00060	61182	4	27	2009	2022	14	2019	1190000	2012	414000	804000		484000	654000	690000	740000	980000	1010000	1170000	
USGS	07374525	00060	61182	4	28	2009	2022	14	2019	1220000	2012	410000	805000		459000	616000	687000	780000	970000	1010000	1180000	
USGS	07374525	00060	61182	4	29	2009	2022	14	2019	1200000	2012	407000	795000		447000	610000	659000	759000	994000	1040000	1180000	
USGS	07374525	00060	61182	4	30	2009	2022	14	2019	1190000	2012	399000	787000		438000	631000	664000	753000	965000	1010000	1170000	
USGS	07374525	00060	61182	5	1	2009	2022	13	2019	1190000	2012	378000	785000		412000	612000	663000	725000	978000	1050000	1180000	
USGS	07374525	00060	61182	5	2	2009	2022	13	2019	1210000	2012	372000	776000		411000	592000	640000	710000	950000	1010000	1190000	
USGS	07374525	00060	61182	5	3	2009	2022	13	2019	1200000	2012	368000	776000		404000	564000	620000	707000	951000	1010000	1180000	
USGS	07374525	00060	61182	5	4	2009	2022	14	2019	1220000	2012	365000	795000		418000	562000	628000	791000	977000	988000	1170000	
USGS	07374525	00060	61182	5	5	2009	2022	14	2019	1250000	2012	360000	801000		423000	538000	627000	787000	980000	981000	1180000	
USGS	07374525	00060	61182	5	6	2009	2022	14	2019	1200000	2012	346000	795000		423000	534000	627000	768000	987000	1030000	1160000	
USGS	07374525	00060	61182	5	7	2009	2022	14	2019	1180000	2012	345000	794000		439000	548000	635000	758000	977000	1030000	1150000	
USGS	07374525	00060	61182	5	8	2009	2022	14	2019	1160000	2012	358000	801000		458000	594000	644000	765000	970000	1070000	1130000	
USGS	07374525	00060	61182	5	9	2009	2022	14	2019	1150000	2012	397000	809000		490000	608000	659000	785000	965000	1100000	1130000	
USGS	07374525	00060	61182	5	10	2009	2022	14	2019	1180000	2012	388000	819000		503000	635000	685000	807000	962000	1090000	1160000	
USGS	07374525	00060	61182	5	11	2009	2022	14	2019	1170000	2012	397000	821000		514000	656000	686000	823000	962000	1080000	1150000	
USGS	07374525	00060	61182	5	12	2009	2022	14	2019	1240000	2012	413000	832000		526000	657000	679000	822000	976000	1050000	1190000	
USGS	07374525	00060	61182	5	13	2009	2022	13	2011	1120000	2012	429000	801000		520000	667000	678000	762000	933000	956000	1090000	
USGS	07374525	00060	61182	5	14	2009	2022	14	2011	1230000	2012	437000	838000		561000	688000	692000	801000	954000	1030000	1220000	
USGS	07374525	00060	61182	5	15	2009	2022	14	2011	1230000	2012	441000	840000		557000	698000	703000	786000	949000	1040000	1220000	
USGS	07374525	00060	61182	5	16	2009	2022	14	2011	1210000	2012	457000	838000		559000	663000	701000	768000	958000	1020000	1200000	
USGS	07374525	00060	61182	5	17	2009	2022	14	2011	1200000	2012	459000	838000		556000	654000	712000	761000	993000	1020000	1180000	
USGS	07374525	00060	61182	5	18	2009	2022	14	2019	1160000	2012	464000	841000		552000	665000	709000	785000	1010000	1010000	1150000	
USGS	07374525	00060	61182	5	19	2009	2022	14	2019	1190000	2012	470000	836000		549000	681000	685000	777000	1000000	1010000	1150000	
USGS	07374525	00060	61182	5	20	2009	2022	14	2019	1150000	2012	471000	834000		545000	668000	684000	776000	1000000	1020000	1130000	
USGS	07374525	00060	61182	5	21	2009	2022	14	2019	1130000	2012	475000	838000		540000	660000	695000	792000	1030000	1030000	1120000	
USGS	07374525	00060	61182	5	22	2009	2022	14	2019	1130000	2012	473000	841000		534000	644000	692000	792000	1040000	1060000	1120000	
USGS	07374525	00060	61182	5	23	2009	2022	14	2019	1140000	2012	458000	846000		528000	647000	690000	810000	1070000	1090000	1120000	
USGS	07374525	00060	61182	5	24	2009	2022	14	2019	1140000	2012	446000	842000		520000	650000	690000	824000	1050000	1090000	1130000	
USGS	07374525	00060	61182	5	25	2009	2022	14	2019	1170000	2012	443000	836000		520000	633000	679000	822000	1050000	1070000	1130000	
USGS	07374525	00060	61182	5	26	2009	2022	13	2019	1170000	2012	424000	828000		494000	625000	662000	754000	1050000	1070000	1140000	
USGS	07374525	00060	61182	5	27	2009	2022	13	2011	1130000	2012	426000	819000		498000	636000	661000	729000	1030000	1060000	1130000	
USGS	07374525	00060	61182	5	28	2009	2022	13	2011	1110000	2012	423000	822000		509000	638000	657000	725000	1060000	1080000	1110000	
USGS	07374525	00060	61182	5	29	2009	2022	13	2009	1120000	2012	417000	819000		497000	638000	655000	716000	1090000	1090000	1110000	
USGS	07374525	00060	61182	5	30	2009	2022	14	2019	1100000	2012	392000	819000		504000	649000	661000	791000	1090000	1090000	1100000	
USGS	07374525	00060	61182	5	31	2009	2022	14	2019	1100000	2012	376000	816000		494000	641000	653000	804000	1070000	1080000	1100000	
USGS	07374525	00060	61182	6	1	2009	2022	14	2011	1120000	2012	376000	811000		495000	629000	646000	791000	1060000	1070000	1110000	
USGS	07374525	00060	61182	6	2	2009	2022	14	2019	1130000	2012	328000	807000		473000	627000	641000	799000	1060000	1070000	1110000	
USGS	07374525	00060	61182	6	3	2009	2022	14	2019	1110000	2012	301000	798000		461000	634000	639000	794000	1040000	1060000	1100000	
USGS	07374525	00060	61182	6	4	2009	2022	14	2009	1090000	2012	283000	795000		446000	622000	628000	796000	1050000	1090000	1090000	
USGS	07374525	00060	61182	6	5	2009	2022	14	2009	1100000	2012	270000	790000		435000	612000	614000	781000	1040000	1090000	1100000	
USGS	07374525	00060	61182	6	6	2009	2022	14	2017	1080000	2012	256000	786000		423000	612000	613000	792000	1020000	1060000	1080000	
USGS	07374525	00060	61182	6	7	2009	2022	14	2017	1100000	2012	249000	779000		410000	595000	606000	783000	1010000	1050000	1100000	
USGS	07374525	00060	61182	6	8	2009	2022	14	2019	1130000	2012	225000	770000		389000	585000	596000	749000	1010000	1040000	1100000	
USGS	07374525	00060	61182	6	9	2009	2022	14	2019	1180000	2012	222000	767000		379000	586000	601000	730000	1000000	1010000	1110000	
USGS	07374525	00060	61182	6	10	2009	2022	13	2020	1030000	2012	249000	730000		362000	571000	594000	701000	957000	985000	1030000	
USGS	07374525	00060	61182	6	11	2009	2022	14	2019	1200000	2012	229000	756000		380000	579000	599000	698000	970000	1020000	1110000	
USGS	07374525	00060	61182	6	12	2009	2022	14	2019	1190000	2012	246000	754000		387000	571000	603000	699000	984000	1020000	1110000	
USGS	07374525	00060	61182	6	13	2009	2022	14	2019	1160000	2012	253000	747000		398000	552000	598000	705000	961000	1010000	1100000	
USGS	07374525	00060	61182	6	14	2009	2022	14	2019	1120000	2012	258000	738000		393000	541000	585000	710000	940000	992000	1060000	
USGS	07374525	00060	61182	6	15	2009	2022	14	2019	1130000	2012	244000	726000		378000	552000	576000	691000	925000	990000	1060000	
USGS	07374525	00060	61182	6	16	2009	2022	14	2019	1130000	2012	233000	717000		359000	569000	571000	706000	913000	960000	1050000	
USGS	07374525	00060	61182	6	17	2009	2022	14	2019	1140000	2012	251000	709000		358000	560000	578000	692000	887000	937000	1040000	
USGS	07374525	00060	61182	6	18	2009	2022	14	2019	1130000	2012	239000	702000		353000	563000	580000	678000	875000	912000	1030000	
